"","Coal","CommercialGeothermal","CommercialHydropower","CommercialSolar","CommercialWind","CommercialWood","ConsumptionCommercialCoal","ConsumptionCommercialDistillateFuelOil","ConsumptionCommercialKerosene","ConsumptionCommercialLiquefiedPetroleumGases","ConsumptionCommercialNaturalGas","ConsumptionElectricPowerCoal","ConsumptionElectricPowerDistillateFuelOil","ConsumptionElectricPowerNaturalGas","ConsumptionIndustrialCoal","ConsumptionIndustrialDistillateFuelOil","ConsumptionIndustrialKerosene","ConsumptionIndustrialLiquefiedPetroleumGases","ConsumptionIndustrialNaturalGas","ConsumptionIndustrialOtherPetroleumProducts","ConsumptionResidentialCoal","ConsumptionResidentialDistillateFuelOil","ConsumptionResidentialKerosene","ConsumptionResidentialLiquefiedPetroleumGases","ConsumptionResidentialNaturalGas","ConsumptionResidentialWood","ConsumptionTransportationCoal","ConsumptionTransportationDistillateFuelOil","ConsumptionTransportationLiquefiedPetroleumGases","ConsumptionTransportationNaturalGas","ElectricPowerWood","ExpenditureCommercialCoal","ExpenditureCommercialDistillateFuelOil","ExpenditureCommercialKerosene","ExpenditureCommercialLiquefiedPetroleumGases","ExpenditureCommercialNaturalGas","ExpenditureElectricPowerCoal","ExpenditureElectricPowerDistillateFuelOil","ExpenditureElectricPowerNaturalGas","ExpenditureIndustrialCoal","ExpenditureIndustrialDistillateFuelOil","ExpenditureIndustrialKerosene","ExpenditureIndustrialLiquefiedPetroleumGases","ExpenditureIndustrialNaturalGas","ExpenditureIndustrialOtherPetroleumProducts","ExpenditureResidentialCoal","ExpenditureResidentialDistillateFuelOil","ExpenditureResidentialKerosene","ExpenditureResidentialLiquefiedPetroleumGases","ExpenditureResidentialNaturalGas","ExpenditureResidentialWood","ExpenditureTransportationCoal","ExpenditureTransportationDistillateFuelOil","ExpenditureTransportationLiquefiedPetroleumGases","ExpenditureTransportationNaturalGas","IndustrialGeothermal","IndustrialHydropower","IndustrialSolar","IndustrialWind","IndustrialWood","PriceCommercialCoal","PriceCommercialDistillateFuelOil","PriceCommercialKerosene","PriceCommercialLiquefiedPetroleumGases","PriceCommercialNaturalGas","PriceElectricPowerCoal","PriceElectricPowerDistillateFuelOil","PriceElectricPowerNaturalGas","PriceIndustrialCoal","PriceIndustrialDistillateFuelOil","PriceIndustrialKerosene","PriceIndustrialLiquefiedPetroleumGases","PriceIndustrialNaturalGas","PriceIndustrialOtherPetroleumProducts","PriceTransportationCoal","PriceTransportationDistillateFuelOil","PriceTransportationLiquefiedPetroleumGases","PriceTransportationNaturalGas","RefineryCoal","RefineryDistillateFuelOil","RefineryLiquefiedPetroleumGases","RefineryNaturalGas","ResidentialGeothermal","State","Year"
"2279",0,709,0,0,0,6521,168,9676,407,11800,236222,22535,1354,793193,46188,82722,242,17057,893413,271645,19,829,1567,24845,522272,38934,0,452446,1835,17144,47567,0.3,105.6,4.7,175.7,1998.7,43.7,12.5,4661.6,81.2,922.1,2.5,206,5923.1,178.3,0.1,10.6,18.2,489.6,5048.8,113.8,0,6409.7,31.9,26.7,1111,0,0,0,26939,1.76,10.91,11.61,14.89,8.46,1.94,9.25,5.88,1.76,11.27,10.41,16.69,7.74,9.65,0,14.17,17.38,6.83,0,868,4716,86811,165,"California",2004
"2330",0,735,54,0,0,4153,410,11451,333,9267,238473,20692,1404,709314,46284,76972,238,6224,841137,283436,36,906,1721,28251,494886,25879,0,473042,3232,20653,49125,0.9,170,4.6,165.5,2491.6,29.6,13.9,5568.5,98.2,1175.1,3.1,0.1,6896.9,233.8,0.1,15.3,23.7,643.3,5731.8,100.2,0,8505,64.4,82.8,1258,0,0,0,29671,2.12,14.85,13.76,17.86,10.45,1.43,9.91,7.85,2.12,15.45,13.09,19.9,9.62,11.54,0,17.98,19.92,8.6,0,896,6221,82338,170,"California",2005
"2381",0,682,73,0,0,3853,30,8594,307,6876,250003,21921,1168,795842,45062,80437,231,10633,809807,285526,3,890,1625,24664,502984,22952,0,485179,3330,17297,48899,0.1,147.3,6.8,141.1,2549.4,36.8,16.2,5172.3,107.8,1384.1,4.4,136.2,6010.6,218.9,0,17.3,36,638.6,5798,102.4,0,9693.5,72.3,78.3,1287,0,0,0,27311,2.39,17.14,22.13,20.51,10.2,1.68,13.84,6.5,2.39,17.4,19.11,22.23,9.09,12.47,0,19.98,21.71,7.75,0,870,4506,87709,174,"California",2006
"2432",0,630,132,0,0,4092,0,10608,175,7725,258379,23358,975,860408,43136,66300,178,6740,821358,275789,0,554,864,26156,506805,25368,0,494417,2915,20595,45229,0,194.3,4.2,172.1,2560.4,43.2,15.8,5606.4,121,1199.7,3.8,72.3,5873.6,241.7,0,11.6,21,725.5,5696.8,124.1,0,10351,69.1,85,1375,0,0,0,27817,0,18.31,24.26,22.28,9.91,1.85,16.19,6.52,2.81,18.29,21.42,25.49,8.81,14.9,0,20.94,23.7,7.5,0,706,3906,93580,187,"California",2007
"2483",0,532,0,0,0,4318,0,16453,79,9975,257986,23630,1012,882428,39420,73512,83,14212,809376,238700,0,839,458,32114,502833,28388,0,430665,5065,19987,46652,0,402.4,2.4,258.8,2949.8,51.7,22.8,7060.2,116.8,1781,2.3,316.7,6733.4,291.2,0,21.8,13.8,1021.6,6238.6,172.3,0,11517.9,144.4,132.5,1429,0,0,0,24662,0,24.46,30.07,25.94,11.43,2.19,22.58,8,2.96,24.53,27.15,30.48,10.51,23.38,0,26.74,28.51,11.02,0,892,3822,99815,232,"California",2008
"2534",0,552,3,0,0,5266,0,20296,116,7965,254462,21085,669,830777,31318,59613,61,19868,792725,217874,0,2249,973,30147,493696,37284,0,424362,3887,19706,49778,0,299.4,2.9,159.4,1920.3,47.2,9.6,3591.6,92.3,875.2,1.1,389.3,4016.6,128.9,0,41.1,24.6,782.8,4533.2,168.7,0,7503.3,84.3,97.4,1201,0,0,0,22666,0,14.75,25.27,20.01,7.55,2.24,14.38,4.32,2.95,14.77,17.68,24.14,6.39,21.03,0,17.68,21.69,7.41,0,376,3742,96398,265,"California",2009
"2585",0,556,65,38,0,5199,0,27293,189,8640,253329,21776,437,755324,33196,70507,69,19342,787410,224814,0,934,816,31734,505530,32551,0,429649,3306,23814,51036,0,516.5,5.1,186.8,2058.4,48.3,8,3673.1,113,1330.1,1.5,434.5,4198,150,0,21.7,22.2,966.6,4909.3,173.6,0,9247.5,81.9,75.3,1226,0,0,0,23015,0,18.92,27.17,21.62,8.13,2.22,18.44,4.86,3.41,19.09,22.1,25.78,6.87,27.81,0,21.52,24.78,5.43,0,828,2488,107803,273,"California",2010
"2636",0,659,45,273,0,5005,0,24205,144,8313,250867,19692,365,630122,35572,77264,65,20875,767439,233769,0,629,625,29647,522406,33291,0,438319,3805,25415,46859,0,614.6,4.7,207.3,2040.5,43.5,8.7,2904,129.5,1926.1,1.9,603.1,4212.1,161.5,0,18,20.3,1008,5089.8,213.3,0,12360.6,102.6,107.3,1226,0,0,0,25323,0,25.39,32.46,24.94,8.13,2.21,23.74,4.61,3.64,25.3,29.33,30.64,6.91,32.75,0,28.2,26.96,7.18,0,1133,1194,110120,248,"California",2011
"2687",0,634,26,481,0,4384,0,21757,48,8702,258277,13153,354,876854,30679,74925,33,19529,805491,218676,0,370,269,23057,487614,31071,0,421187,4116,28136,53082,0,566.2,1.6,188.1,1784.7,24.9,9.5,3147.7,108.7,1948.3,1,416.5,3606.1,145.3,0,11,9.1,780.3,4368.3,221.6,0,12131.8,107.5,102.8,1217,0,36,1,24838,0,26.02,33.86,21.62,6.91,1.89,26.89,3.59,3.54,26.26,30.12,23.04,5.66,33.22,0,28.8,26.13,6.87,0,728,1449,113199,287,"California",2012
"2738",0,634,50,778,10,5081,0,20160,43,8265,261889,6214,358,849409,31938,74595,12,18053,851553,243162,0,552,257,23160,495089,42908,0,438084,4961,25272,50232,0,510.9,1.5,181.1,1990.3,12.1,8.3,3740.5,117.3,1901.5,0.4,395.2,4173.6,329,0,16.3,8.6,785.6,4779.2,302.1,0,12027.4,131.2,125,1217,0,48,15,23106,0,25.34,33.54,21.91,7.6,1.96,23.23,4.4,3.67,25.71,29.44,23.17,6.39,31.56,0,27.45,26.46,8.62,0,629,998,144607,287,"California",2013
"2789",0,634,39,883,31,5081,0,19319,51,9179,243679,6866,380,858977,32620,80230,96,19203,866822,232106,0,544,334,17739,407530,42908,0,460508,5352,40475,53281,0,461.7,1.7,218.9,2151,17.1,7.5,4348.9,118.3,1941.6,2.6,448.6,4896.9,323.6,0,15.7,11.1,601.7,4575.1,294.6,0,12366.5,155.5,156.2,1217,0,44,16,20232,0,23.9,33.37,23.85,8.83,2.49,19.63,5.06,3.63,24.34,27.51,25.12,7.46,30.2,0,26.85,29.05,9.19,0,445,1346,152460,287,"California",2014
"4",0,0,0,0,0,418,24324,18710,3206,735,44506,256299,451,5391,331969,41303,15543,2181,121345,23881,35003,101236,4336,8018,209046,22068,5547,14419,81,2692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2285,0,0,14775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Michigan",1960
"55",0,0,0,0,0,396,24859,18502,4836,715,44337,255130,471,8465,320291,39350,24265,2201,142286,24377,35773,100111,6540,7793,225717,20829,1412,18354,93,1777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1618,0,0,14947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Michigan",1961
"106",0,0,0,0,0,385,24217,18751,5494,774,66752,298548,463,2692,337051,39551,26681,2611,145130,24767,34849,101459,7429,8443,242690,20279,1313,19836,112,1914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1378,0,0,15084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Michigan",1962
"157",0,0,0,0,0,376,21022,17996,5282,985,69500,329571,434,2057,377978,37434,22416,2994,150456,21082,29030,97373,7143,10746,245801,19849,1370,22142,136,2690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1288,0,0,16753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Michigan",1963
"208",0,0,0,0,0,343,16238,17091,5344,886,75334,359692,379,2415,381222,35709,21633,3027,169143,31486,22424,92474,7228,9667,254234,18077,1369,25386,110,4655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1364,0,0,18180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Michigan",1964
"259",0,0,0,0,0,337,18707,17584,5364,889,86022,399905,394,3031,385563,43792,20722,3828,195098,33123,24797,95145,7254,9697,274790,17802,1220,19504,129,4623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1526,0,0,18765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Michigan",1965
"310",0,0,0,0,0,327,19335,17814,4214,1142,96902,457450,752,2537,393610,45639,16193,3428,228623,30682,25630,96389,5699,12451,291715,17252,1133,21894,183,7005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1552,0,0,20296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Michigan",1966
"361",0,0,0,0,0,328,14646,19638,1900,1462,109844,477961,1166,4808,357775,56073,11862,3126,267288,27860,19415,106254,2569,15938,308219,17114,831,29827,343,8972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1780,0,0,18542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Michigan",1967
"412",0,0,0,0,0,313,14163,20216,1990,1514,118881,518971,1205,6945,381643,51284,11886,3567,256448,29427,18026,109385,2692,16514,320429,16392,803,30778,303,8343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1801,0,0,19728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Michigan",1968
"463",0,0,0,0,0,316,12150,19574,1992,1759,132013,541692,1472,15728,339008,51758,11126,4070,293336,30502,15464,105912,2693,19180,338263,16667,545,36388,349,8882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1654,0,0,19883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Michigan",1969
"514",0,0,0,0,0,312,8995,20282,2286,1703,134699,487040,5623,65234,320914,49522,12335,3192,265672,30996,11449,109738,3092,18572,345133,16581,484,37008,239,10523,0,4.8,21.4,1.7,2.3,111.4,173.4,3.6,27.2,172.7,33.3,9.2,4.3,136.5,34.5,16.3,135.5,4.8,37.9,345.1,1.7,0.3,46.9,0.3,0,0,1290,0,0,19539,0.53,1.05,0.74,1.37,0.83,0.36,0.65,0.42,0.54,0.68,0.74,1.41,0.53,1.92,0.53,1.27,1.37,0,0,810,157,3201,0,"Michigan",1970
"565",0,0,0,0,0,293,10418,22238,2399,1860,148410,496082,9818,70856,320736,54947,11470,3362,279426,29811,10010,120322,3244,20282,348930,15549,392,35718,306,15698,0,5.9,24.5,1.8,2.5,127,207.4,7.5,33.1,194.7,37.9,8.7,4.1,151.6,31,14.4,156.9,5,40.5,365.4,1.7,0.2,46.6,0.4,0,0,1633,0,0,19505,0.57,1.1,0.76,1.37,0.86,0.42,0.76,0.47,0.61,0.7,0.76,1.41,0.56,2.01,0.57,1.31,1.37,0,0,617,462,4824,0,"Michigan",1971
"616",0,0,0,0,0,306,8374,23476,2396,2218,165023,497450,10612,46413,331221,58604,9360,3802,283188,28926,6317,127024,3241,24184,366489,16151,314,56182,326,16628,0,5.1,25.9,1.8,3.1,144.4,221.9,8.5,28.6,219.2,40.4,7.1,4.5,169.6,33.1,10.5,166.4,5.1,51.9,390.1,1.8,0.2,72.6,0.5,0,0,1550,0,0,21139,0.61,1.1,0.76,1.41,0.88,0.45,0.81,0.62,0.66,0.7,0.76,1.46,0.61,2.08,0.61,1.29,1.41,0,0,483,734,4110,0,"Michigan",1972
"667",0,0,0,0,0,261,8912,22825,1767,2207,186337,494245,7238,42739,282705,58928,7156,4215,334953,29818,5234,123500,2389,24065,353095,13760,188,60887,387,12427,0,5.6,27.6,1.5,3.3,173,233.8,6.9,27.7,200.5,46.7,6.2,5.6,220.9,39.9,7.3,174.5,4.5,90.4,403.8,1.7,0.1,100.3,0.6,0,0,1704,0,0,22257,0.63,1.21,0.86,1.49,0.93,0.47,0.96,0.65,0.71,0.79,0.86,1.55,0.67,2.3,0.63,1.65,1.49,0,0,0,598,3253,0,"Michigan",1973
"718",0,0,0,0,0,280,7510,21052,1483,2077,194219,488361,10985,52499,210457,51149,5583,4769,329321,30839,3534,113908,2006,22651,355312,14809,100,57299,381,11242,0,7.9,45.4,3.3,5,213.7,404.9,21.5,51.9,286,105.3,12.4,11,285.8,55.2,9.7,268.3,6,84.9,474.2,2.9,0.1,152.3,0.9,0,0,1376,0,0,23151,1.06,2.16,2.23,2.39,1.1,0.83,1.96,0.99,1.36,2.06,2.23,2.5,0.89,2.98,1.06,2.66,2.39,0,0,0,367,3667,0,"Michigan",1974
"769",0,0,0,0,0,302,6537,20907,1268,1979,186352,494862,8518,47296,246746,50964,4666,4517,307705,34996,2801,113124,1715,21576,342970,15910,37,52130,366,10472,0,9.8,48.7,3.1,4.8,269.8,456.8,17.3,60.7,449.1,115.9,11.4,11.2,362.3,67.8,8.6,284.4,5.3,92.6,542.8,3.2,0.1,144.2,0.9,0,0,1257,0,0,19694,1.49,2.33,2.44,2.43,1.45,0.92,2.03,1.28,1.82,2.27,2.44,2.55,1.22,3.55,1.49,2.77,2.43,0,0,0,120,3198,0,"Michigan",1975
"820",0,0,0,0,0,345,7172,20622,1311,2194,182399,482642,10052,41042,224922,57039,5708,6469,312246,40265,2929,111579,1773,23922,347376,18266,17,57763,623,12073,0,9.8,52.6,3.3,6,324.7,489.4,23.6,65.7,383.1,107.5,14.2,17.6,455.5,92.1,8.4,309.4,5.7,103.9,644.6,4,0,167.1,1.7,0,0,1284,0,0,22979,1.37,2.55,2.49,2.74,1.78,1.01,2.35,1.6,1.7,2.31,2.49,2.89,1.51,3.72,1.37,2.89,2.74,0,0,10485,389,3245,0,"Michigan",1976
"871",0,0,0,0,0,386,6253,20678,1143,2074,133886,495451,9524,22442,188835,57324,5370,7705,272398,42085,2432,111882,1546,22611,305171,20348,11,61718,811,11844,0,8.8,61.6,3.4,6.8,277.9,543.5,25.2,42.2,329.1,132.6,16,25.9,467.4,105.4,8.1,360.2,5.8,114.1,664.5,5,0,208.5,2.7,0,0,1322,0,0,24269,1.4,2.98,2.98,3.27,2.08,1.1,2.64,1.88,1.74,2.73,2.98,3.5,1.8,3.98,1.4,3.38,3.27,0,0,8825,309,5258,0,"Michigan",1977
"922",0,0,0,0,0,503,5165,21173,1045,1981,145319,496496,6523,28161,168053,55866,5253,9328,283084,44290,1543,114560,1413,21604,333735,26454,0,64873,1136,3635,0,8.3,66.6,3.4,6.3,318.4,639,18.2,57.5,310.8,150.4,16.9,29.9,508.6,108.7,5.2,395.7,5.6,97.9,757.6,6.9,0,230.8,3.6,0,0,1401,0,0,28070,1.6,3.15,3.22,3.16,2.19,1.29,2.79,2.04,1.85,2.94,3.22,3.39,1.91,3.92,0,3.56,3.16,0,0,4736,505,5156,0,"Michigan",1978
"973",0,0,0,0,0,621,2553,12409,595,1298,185986,546503,2948,25631,209235,33066,7303,11874,279264,42204,638,67145,805,14157,376814,32732,0,66565,857,12669,0,4.4,59.1,2.4,5,470.1,799.5,11.9,60.1,412.3,118.7,29.8,46.6,589.2,157.8,2.2,343.3,4.5,103.6,976.6,12.3,0,344.5,3.3,0,0,1257,0,0,26987,1.72,4.77,4.08,3.83,2.53,1.46,4.02,2.35,1.97,3.76,4.08,4.03,2.26,5.94,0,5.18,3.83,0,0,1485,324,4096,0,"Michigan",1979
"1024",0,0,0,0,0,1050,5925,18194,85,1279,193999,532151,4541,19433,219374,27984,6435,9581,253737,37640,1575,53563,471,13950,394874,42306,0,56741,492,12607,0,10.8,118.8,0.5,6.3,606.7,832.3,27.5,53.2,448.3,155.7,39.5,49.7,700.3,235.9,5.8,377.7,4,112.6,1236,22,0,408.1,2.4,0,0,1210,0,0,47219,1.82,6.53,6.14,4.94,3.13,1.56,6.06,2.74,2.04,5.56,6.14,5.22,2.87,9.31,0,7.19,4.94,0,0,0,51,3127,0,"Michigan",1980
"1075",0,0,0,0,0,1067,3617,13790,108,1122,179258,549769,3722,12557,203312,31148,4349,6425,237543,21626,794,45984,1168,12239,371143,44364,0,60477,1156,13991,0,7.7,110.6,0.8,6.1,668.6,959.9,27.7,41.3,461.5,200.1,30.6,36.5,768.1,147.9,3.3,392.2,12.1,100.8,1390.9,28.4,0,522.8,6.3,0,0,1218,0,0,47278,2.13,8.02,7.04,5.41,3.73,1.75,7.44,3.29,2.27,6.45,7.04,5.77,3.46,10.26,0,8.64,5.41,0,72,132,99,11704,0,"Michigan",1981
"1126",0,0,0,0,0,1031,4716,12412,102,1242,175076,521290,2950,8425,184415,25776,941,10623,198423,20606,966,36770,3170,13544,368906,45523,0,55733,1037,13770,0,10.6,95.4,0.8,7,793.1,1010.3,20.8,32.4,435,171.5,6.9,63,752.9,130.3,4.1,302,32.6,126.6,1718.6,28.3,0,464.9,5.9,0,0,1218,0,0,44740,2.25,7.69,7.36,5.66,4.53,1.94,7.04,3.84,2.36,6.66,7.36,6.1,4.2,9.93,0,8.34,5.66,0,0,32,297,9059,0,"Michigan",1982
"1177",0,0,0,0,0,1117,3405,14498,96,1477,166146,534172,2657,2688,168369,21572,567,7965,182146,23791,649,28788,2493,16111,354007,49267,0,61659,1232,8180,0,6.9,95.5,0.7,9.1,900.7,1011.2,16,11.8,353.9,144.5,4.2,52.2,822.5,138.5,2.6,229.7,19.1,152.3,1992,29.7,0,509.3,7.6,0,0,1226,0,0,49875,2.03,6.58,7.65,6.18,5.42,1.89,6.03,4.39,2.1,6.73,7.42,6.68,4.93,9.78,0,8.26,6.18,0,0,86,143,7024,0,"Michigan",1983
"1228",0,0,0,0,0,955,5747,17807,66,1677,164627,571611,3188,5749,168926,26496,291,6686,202238,26423,1348,35359,2099,18286,346735,42575,0,62269,1664,10966,0,11.5,117.1,0.6,9.9,896.3,1094.1,19.1,26.1,349.1,174.6,2.2,41.8,895.4,172.2,5.5,278.4,17.6,170.1,2022.8,26.1,0,538.3,9.9,0,0,1216,0,0,49551,2.01,6.58,8.4,5.92,5.44,1.91,5.98,4.54,2.07,6.61,7.5,6.41,4.82,10.23,0,8.65,5.92,0,219,63,165,7676,0,"Michigan",1984
"1279",0,0,0,0,0,1042,4827,14268,65,1678,161393,605774,3765,4658,169921,25678,397,30944,194150,22308,1361,36070,2411,18302,348883,43857,0,71811,1115,10787,0,9.6,89.9,0.6,13.6,905.1,1138.3,21.1,20.6,344.9,163.4,2.8,264.8,884.9,143.1,5.3,276.2,20.4,176.2,2143.5,25.8,0,614.1,11,0,0,1217,0,0,48547,2,6.3,8.47,8.13,5.61,1.88,5.6,4.43,2.03,6.38,7.14,8.79,4.95,10.21,0,8.55,9.9,0,204,66,833,6825,0,"Michigan",1985
"1330",0,0,0,0,0,1172,4920,18122,76,1910,140784,634387,2979,3787,171154,28253,339,34040,186698,22432,1470,36074,1962,20829,342885,39949,0,71785,1084,15297,0,9.4,73.2,0.6,15.6,708.7,1149.5,10.3,13.8,328.7,119.8,1.8,288.4,759.6,122.6,5.1,219.1,14.7,169.9,1894.5,18.9,0,480.3,10.7,0,0,1217,0,0,62478,1.9,4.04,7.5,8.14,5.03,1.81,3.44,3.64,1.92,4.26,5.21,8.7,4.4,9.38,0,6.69,9.91,0,140,118,875,6318,0,"Michigan",1986
"1381",0,0,0,0,0,1438,2276,11201,83,2354,191769,713590,2365,4344,123690,27344,463,36168,138375,24631,680,33437,1843,25666,324118,42271,0,80680,1304,12594,0,3.9,49.9,0.6,18.1,935.4,1250.9,9.4,12,217.7,130.7,2.2,287.9,526.4,138,2.4,194.3,13.7,207.9,1716,19,0,553.2,12.4,0,0,1214,0,0,61159,1.73,4.45,7.46,7.7,4.88,1.75,3.98,2.76,1.76,4.79,4.84,8.17,4.29,9.73,0,6.86,9.48,0,110,61,949,5639,0,"Michigan",1987
"1432",0,0,0,0,0,1586,3417,14905,106,2462,174552,695970,2888,2419,130554,30619,318,33590,207310,24893,964,35697,2266,26850,362320,45112,0,81277,1323,19105,0,5.9,64.8,0.7,18.8,839.5,1222.8,10.4,6.2,225.9,141.2,1.5,266.6,800.5,114.5,3.3,207.5,15.8,207.8,1861.1,20.5,0,528,12.5,0,0,1203,0,0,63060,1.73,4.35,6.96,7.65,4.81,1.76,3.59,2.56,1.73,4.63,4.59,8.14,4.19,9.01,0,6.5,9.44,0,65,98,843,7867,0,"Michigan",1988
"1483",0,0,0,0,0,3694,3457,14100,320,2711,184811,667017,2675,7105,118853,25600,389,37697,210828,27895,919,32379,2221,29561,379382,45607,0,77874,1091,17648,4275,5.8,67.2,2.4,22.5,854.3,1147.9,11.3,12.4,201.6,134.1,2.2,311.5,782.3,110.5,3.2,207.1,17,357.7,1877.1,22.9,0,540.7,11,0,0,0,0,0,42437,1.68,4.77,7.64,8.29,4.62,1.72,4.21,1.75,1.7,5.24,5.61,8.74,4.02,7.34,0,6.94,10.05,0,30,25,2037,7980,522,"Michigan",1989
"1534",0,0,0,0,0,3002,5314,11709,102,2478,166501,663512,1987,69139,117888,23051,195,24698,302560,27669,1328,28202,1232,27026,341919,27464,0,76929,1086,18725,6372,9.4,65.9,1,22.8,738.5,1061,9.1,145.6,209.9,127.7,1.3,232.9,1041.2,107.4,4.5,213.4,11.7,307.3,1644.2,30.9,0,634.1,12,0,0,240,0,0,36025,1.77,5.63,9.53,9.2,4.44,1.6,4.6,2.11,1.78,5.54,6.73,9.9,3.72,7.33,0,8.24,11.02,1.94,35,13,1170,13518,579,"Michigan",1990
"1585",0,0,0,0,0,3133,5387,11262,97,2748,171437,665100,1673,72778,92479,26591,361,25685,291581,25512,1183,26484,1582,29964,349179,28791,0,78565,1004,20289,6372,9.6,56.8,0.9,27.3,777.8,1058.8,7.5,142.6,163.8,138.6,2,267.6,1032.4,99.6,3.7,187.1,15.4,302.8,1710,31.1,0,619.2,12.8,0,0,241,0,0,37731,1.78,5.04,9.71,9.94,4.54,1.59,4.51,1.96,1.77,5.22,5.59,10.73,3.86,6.98,0,7.88,12.73,2.07,7,32,743,14390,628,"Michigan",1991
"1636",0,0,0,0,0,3305,3861,10215,29,2779,179873,626468,1817,82615,76293,26750,232,27820,323612,26607,848,24461,1160,30303,370596,30207,0,81391,962,22485,7100,6.7,48.7,0.3,26.7,807.7,974.8,8,161.4,131.8,140,1.2,280.3,1143.2,109.1,2.7,159.8,10.5,277.9,1811.2,29.8,0,629.7,11.9,0,0,239,0,0,37401,1.73,4.77,9.01,9.6,4.49,1.56,4.39,1.95,1.73,5.24,5.02,10.31,3.79,8.1,0,7.74,12.41,0.95,5,34,636,14257,677,"Michigan",1992
"1687",0,0,0,0,0,2097,4801,8606,144,3024,186525,631389,2006,88141,78228,26227,408,12117,255826,25669,1054,24249,2013,32971,382718,15580,0,102726,1053,24755,11678,8.2,40.8,0.9,29.4,839.5,964.8,8,213,133.9,133.3,2.1,124.5,887.4,99.6,3.6,158.6,12.5,305.7,1862.3,15,0,799,13.3,0.2,0,226,0,0,40145,1.71,4.74,6.22,9.72,4.5,1.53,3.97,2.42,1.71,5.09,5.06,10.53,3.78,7.44,0,7.78,12.64,3.25,44,52,288,12482,720,"Michigan",1993
"1738",0,95,0,0,0,2008,6041,7615,185,2993,189530,686693,1910,92412,107196,25061,341,16229,248201,26960,1066,21370,1826,32639,377458,14788,0,104304,1803,23366,12855,10.3,34.3,1.7,23.2,857.5,1034.2,7,222,177.3,120.9,1.8,113.1,858.4,99.3,3.6,140.2,16.3,313.9,1816.7,13.8,0,813.7,21.4,0.1,0,273,0,0,41755,1.7,4.5,8.93,7.74,4.52,1.51,3.67,2.4,1.65,4.83,5.17,7.26,3.8,7.08,0,7.8,11.87,2.74,22,58,651,11950,663,"Michigan",1994
"1789",0,111,0,0,0,2027,5450,9532,578,3038,201923,671226,2388,105085,109194,20119,180,17234,264397,27227,814,22202,1319,33133,395386,14788,0,105485,925,25927,13812,9.3,42.7,5.1,23.7,864.6,972.6,9.3,209.6,181.9,93.6,0.9,128.3,841.7,94.4,2.5,146.1,11.6,316.1,1792.2,13.6,0,809.9,11.2,0.2,0,282,0,0,43429,1.71,4.48,8.79,7.79,4.28,1.45,3.9,2,1.67,4.67,4.78,7.67,3.48,6.55,0,7.68,12.15,2.96,22,57,495,12566,709,"Michigan",1995
"1840",0,143,0,0,0,2106,5905,10278,848,4078,208262,682054,1746,122096,107538,22636,236,19271,268800,30376,805,22457,1302,44474,413154,15357,0,110229,857,26881,15831,10,57.7,7.6,38.5,955.6,952.8,8.5,328.8,181.7,128.2,1.4,175.5,928.1,120.2,2.4,167.8,11.6,495.5,1981.2,16.1,0,935.5,10.2,0.3,0,296,0,0,51508,1.7,5.61,8.91,9.44,4.59,1.4,4.87,2.69,1.69,5.68,5.79,9.35,3.74,7.64,0,8.49,11.91,3.27,35,54,502,12032,750,"Michigan",1996
